Date,PM2.5,Target,PM2.5_1,PM2.5_2,PM2.5_3,PM2.5_4,PM2.5_5,PM2.5_6,PM2.5_7
2017-11-13,117.14666666666666,0,2.182787784109768,2.6668510662069327,2.843764377389569,3.046254179678344,2.6189381278643085,3.106482117042571,2.9785348620928347
2017-11-14,89.475,0,2.66144120688613,2.8357071776210665,3.036720489949139,2.609372306859302,3.0981320834892827,2.9675642077071998,1.7764644942381191
2017-11-15,78.73058823529412,0,2.830060628419705,3.028242263886671,2.6009253072814733,3.0871938567249897,2.9595037300356344,1.7690326920684714,1.3097221343375283
2017-11-16,74.19625,0,3.022325833387026,2.5933979774007985,3.0775583345632325,2.9489625332180824,1.763470393727738,1.3036644049998871,1.1127483236836333
2017-11-17,70.82388888888889,0,2.5880910791316896,3.0689910011584605,2.939670844543618,1.7563546220846484,1.2990721048784828,1.107270478207174,0.9662513522433293
2017-11-18,75.49277777777777,0,3.063017452123532,2.931404378823923,1.7500293995240546,1.293286364381943,1.103087535071558,0.9612047886168189,1.16907010731673
2017-11-19,76.59125,0,2.925623688436123,1.7443587071234847,1.2881129673979366,1.0978630920395986,0.9573262999589677,1.1634264525214921,1.2167882633696672
2017-11-20,71.13,0,1.7402419286657846,1.2834501672116119,1.0931757865110094,0.9525193153615337,1.1591264597359467,1.21100412802786,0.9795489645761996
2017-11-21,80.03208333333333,0,1.2799794559074575,1.0889383352692514,0.9481935346764008,1.1537415218937943,1.2066049659138425,0.9744632532540718,1.366259700726534
2017-11-22,94.763,1,1.0857402761177735,0.9442724317449968,1.148915225614673,1.201084050197687,0.9705571290923701,1.36003552681339,2.0061777305887456
2017-11-23,115.58,0,0.941277154448077,1.1445561520559944,1.1961399951777028,0.9657122515584963,1.3553257285957463,1.9980696608583626,2.910478116577962
2017-11-24,98.59291666666667,1,1.1412801320045411,1.1916778781370179,0.961353655060383,1.3493788783934932,1.9920299654580098,2.8997078188196252,2.172551133095024
2017-11-25,105.9509090909091,1,1.1883358063707383,0.9574038370152679,1.3440659581508334,1.9842596019343242,2.8917887787539733,2.1639532660117693,2.4921858253824887
2017-11-26,103.87291666666665,1,0.9543901530955794,1.339281069682254,1.977367493649097,2.881441516747238,2.1575678083278964,2.4826469651848906,2.4019168456387647
2017-11-27,100.6059090909091,1,1.3357320987905337,1.9712007541734853,2.872317778331585,2.149323346401533,2.475597232926881,2.3926437340924465,2.2599964819078115
2017-11-28,103.21772727272727,1,1.9667660054831875,2.8641982756258018,2.1420206622681843,2.466441938531078,2.3857816015835374,2.251141178841856,2.3734551065872482
2017-11-29,102.44625,1,2.8585117897320265,2.1354946529438292,2.4583504607390183,2.376883538081995,2.2445739895648726,2.3642657853838305,2.3399417667443707
2017-11-30,102.87045454545455,0,2.1308296093417822,2.4511342262595526,2.369014825842356,2.2360803429757614,2.357462802929793,2.3308511076161027,2.3583694140611273
